I have a headache.	Masakit ulo ko.
He will go to France to consult a doctor.	Pupunta siyang Pransiya para magpagamot sa isang doktor.
He is on his way to France to consult a doctor.	Papunta siyang Pransiya para magpagamot sa isang doktor.
His parents are asking him to go to France to consult a doctor.	Pinapapunta siya ng kanyang mga magulang sa Pransiya para magpagamot.
His mother is asking him to go to France to consult a doctor.	Pinapapunta siya ng kanyang nanay sa Pransiya para magpagamot.
His mother is asking him to go to France to consult a doctor.	Pinapapunta siya ng kanyang ina sa Pransiya para magpagamot.
His father is asking him to go to France to consult a doctor.	Pinapapunta siya ng kanyang tatay sa Pransiya para magpagamot.
His father is asking him to go to France to consult a doctor.	Pinapapunta siya ng kanyang ama sa Pransiya para magpagamot.
His siblings are asking him to go to France to consult a doctor.	Pinapapunta siya ng kanyang mga kapatid sa Pransiya para magpagamot.
His children are asking him to go to France to consult a doctor.	Pinapapunta siya ng kanyang mga anak sa Pransiya para magpagamot.
His spouse is asking him to go to France to consult a doctor.	Pinapapunta siya ng kanyang asawa sa Pransiya para magpagamot.
His parents are asking him to go to France to medicine there.	Pinapapunta siya ng kanyang mga magulang sa Pransiya para doon mag-aral ng  medisina.
His parents asked him to go to France to consult a doctor.	Pinapunta siya ng kanyang mga magulang sa Pransiya para magpagamot.
His mother asked him to go to France to consult a doctor.	Pinapunta siya ng kanyang nanay sa Pransiya para magpagamot.
His mother asked him to go to France to consult a doctor.	Pinapunta siya ng kanyang ina sa Pransiya para magpagamot.
His father asked him to go to France to consult a doctor.	Pinapunta siya ng kanyang tatay sa Pransiya para magpagamot.
His father asked him to go to France to consult a doctor.	Pinapunta siya ng kanyang ama sa Pransiya para magpagamot.
His siblings asked him to go to France to consult a doctor.	Pinapunta siya ng kanyang mga kapatid sa Pransiya para magpagamot.
His children asked him to go to France to consult a doctor.	Pinapunta siya ng kanyang mga anak sa Pransiya para magpagamot.
His spouse asked him to go to France to consult a doctor.	Pinapunta siya ng kanyang asawa sa Pransiya para magpagamot.
His parents asked him to go to France to medicine there.	Pinapunta siya ng kanyang mga magulang sa Pransiya para doon mag-aral ng  medisina.
That disease can be acquired in France.	Nakukuha ang sakit na iyan sa Pransiya.
There are many good doctors in France.	Maraming magagaling na mga doktor sa Pransiya.
Our doctors are leaving to work in France.	Ang mga doktor natin ay umaalis para magtrabaho sa Pransiya.
They will consult a doctor in France.	Magpapagamot sila sa isang doktor sa Pransiya.
They consulted a doctor in France.	Nagpagamot sila sa isang doktor sa Pransiya.
They were hospitalized in France.	Naospital sila sa Pransiya.
They got their disease in France.	Nakuha niya ang sakin niya sa Pransiya.
They gained weight due to their stay in France.	Tumaba sila sa pagtira niya sa Pransiya.
They need to consult a doctor in France.	Kailangan niya magpagamot sa isang doktor sa Pransiya.
They went to France to consult a doctor.	Pumunta silang Pransiya para magpagamot sa isang doktor.
They will go to France to consult a doctor.	Pupunta silang Pransiya para magpagamot sa isang doktor.
They are on their way to France to consult a doctor.	Papunta silang Pransiya para magpagamot sa isang doktor.
She will study medicine in France.	Mag-aaral siya ng medisina sa Pransiya.
She is studying medicine in France.	Nag-aaral siya ng medisina sa Pransiya.
She studied medicine in France.	Nag-aral siya ng medisina sa Pransiya.
She will consult a doctor in France.	Magpapagamot siya sa isang doktor sa Pransiya.
She consulted a doctor in France.	Nagpagamot siya sa isang doktor sa Pransiya.
She was hospitalized in France.	Naospital siya sa Pransiya.
She got her disease in France.	Nakuha niya ang sakin niya sa Pransiya.
She gained weight due to her stay in France.	Tumaba siya sa pagtira niya sa Pransiya.
She needs to consult a doctor in France.	Kailangan niya magpagamot sa isang doktor sa Pransiya.
She went to France to consult a doctor.	Pumunta siyang Pransiya para magpagamot sa isang doktor.
She will go to France to consult a doctor.	Pupunta siyang Pransiya para magpagamot sa isang doktor.
She is on her way to France to consult a doctor.	Papunta siyang Pransiya para magpagamot sa isang doktor.
Her parents are asking her to go to France to consult a doctor.	Pinapapunta siya ng kanyang mga magulang sa Pransiya para magpagamot.
Her mother is asking her to go to France to consult a doctor.	Pinapapunta siya ng kanyang nanay sa Pransiya para magpagamot.
Her mother is asking her to go to France to consult a doctor.	Pinapapunta siya ng kanyang ina sa Pransiya para magpagamot.
Her father is asking her to go to France to consult a doctor.	Pinapapunta siya ng kanyang tatay sa Pransiya para magpagamot.
Her father is asking her to go to France to consult a doctor.	Pinapapunta siya ng kanyang ama sa Pransiya para magpagamot.
Her siblings are asking her to go to France to consult a doctor.	Pinapapunta siya ng kanyang mga kapatid sa Pransiya para magpagamot.
Her children are asking her to go to France to consult a doctor.	Pinapapunta siya ng kanyang mga anak sa Pransiya para magpagamot.
Her spouse is asking her to go to France to consult a doctor.	Pinapapunta siya ng kanyang asawa sa Pransiya para magpagamot.
Her parents are asking her to go to France to medicine there.	Pinapapunta siya ng kanyang mga magulang sa Pransiya para doon mag-aral ng  medisina.
Her parents asked her to go to France to consult a doctor.	Pinapunta siya ng kanyang mga magulang sa Pransiya para magpagamot.
Her mother asked her to go to France to consult a doctor.	Pinapunta siya ng kanyang nanay sa Pransiya para magpagamot.
Her mother asked her to go to France to consult a doctor.	Pinapunta siya ng kanyang ina sa Pransiya para magpagamot.
Her father asked her to go to France to consult a doctor.	Pinapunta siya ng kanyang tatay sa Pransiya para magpagamot.
Her father asked her to go to France to consult a doctor.	Pinapunta siya ng kanyang ama sa Pransiya para magpagamot.
Her siblings asked her to go to France to consult a doctor.	Pinapunta siya ng kanyang mga kapatid sa Pransiya para magpagamot.
Her children asked her to go to France to consult a doctor.	Pinapunta siya ng kanyang mga anak sa Pransiya para magpagamot.
Her spouse asked her to go to France to consult a doctor.	Pinapunta siya ng kanyang asawa sa Pransiya para magpagamot.
Her parents asked her to go to France to medicine there.	Pinapunta siya ng kanyang mga magulang sa Pransiya para doon mag-aral ng  medisina.
In countries like France drugs are regulated at the national level.	Sa mga bansang tulad ng Pransiya ang mga gamot ay nireregula sa pambansang lebel.
The drug came from Spain.	Nanggaling ang gamot sa Espanya.
The drug came from Spain.	Nagmula ang gamot sa Espanya.
The drug is coming from Spain.	Nagmumula ang gamot sa Espanya.
The drug will come from Spain.	Manggagaling ang gamot sa Espanya.
He said that the drug came from Spain.	Sinabi niya na nanggaling daw ang gamot sa Espanya.
She said that the drug came from Spain.	Sinabi niya na nanggaling daw ang gamot sa Espanya.
He said that the drug came from Spain.	Sinabi niya na nagmula daw ang gamot sa Espanya.
She said that the drug came from Spain.	Sinabi niya na nagmula daw ang gamot sa Espanya.
They said that the drug came from Spain.	Sinabi nila na nagmula daw ang gamot sa Espanya.
They said that the drug came from Spain.	Sinabi nila na nanggaling daw ang gamot sa Espanya.
He said that the drug is coming from Spain.	Sinabi niya na nanggagaling daw ang gamot sa Espanya.
She said that the drug is coming from Spain.	Sinabi niya na nanggagaling daw ang gamot sa Espanya.
He said that the drug is coming from Spain.	Sinabi niya na nagmumula daw ang gamot sa Espanya.
She said that the drug is coming from Spain.	Sinabi niya na nagmumula daw ang gamot sa Espanya.
They said that the drug is coming from Spain.	Sinabi nila na nagmumula daw ang gamot sa Espanya.
They said that the drug is coming from Spain.	Sinabi nila na nanggagaling daw ang gamot sa Espanya.
He said that the drug will come from Spain.	Sinabi niya na manggagaling daw ang gamot sa Espanya.
She said that the drug will come from Spain.	Sinabi niya na manggagaling daw ang gamot sa Espanya.
He said that the drug will come from Spain.	Sinabi niya na magmumula daw ang gamot sa Espanya.
She said that the drug will come from Spain.	Sinabi niya na magmumula daw ang gamot sa Espanya.
They said that the drug will come from Spain.	Sinabi nila na magmumula daw ang gamot sa Espanya.
They said that the drug will come from Spain.	Sinabi nila na manggagaling daw ang gamot sa Espanya.
He said that the illegal drug came from Spain.	Sinabi niya na nanggaling daw ang bawal na gamot sa Espanya.
She said that the illegal drug came from Spain.	Sinabi niya na nanggaling daw ang bawal na gamot sa Espanya.
He said that the illegal drug came from Spain.	Sinabi niya na nagmula daw ang bawal na gamot sa Espanya.
She said that the illegal drug came from Spain.	Sinabi niya na nagmula daw ang bawal na gamot sa Espanya.
They said that the illegal drug came from Spain.	Sinabi nila na nagmula daw ang bawal na gamot sa Espanya.
They said that the illegal drug came from Spain.	Sinabi nila na nanggaling daw ang bawal na gamot sa Espanya.
He said that the illegal drug is coming from Spain.	Sinabi niya na nanggagaling daw ang bawal na gamot sa Espanya.
She said that the illegal drug is coming from Spain.	Sinabi niya na nanggagaling daw ang bawal na gamot sa Espanya.
He said that the illegal drug is coming from Spain.	Sinabi niya na nagmumula daw ang bawal na gamot sa Espanya.
She said that the illegal drug is coming from Spain.	Sinabi niya na nagmumula daw ang bawal na gamot sa Espanya.
They said that the illegal drug is coming from Spain.	Sinabi nila na nagmumula daw ang bawal na gamot sa Espanya.
They said that the illegal drug is coming from Spain.	Sinabi nila na nanggagaling daw ang bawal na gamot sa Espanya.
He said that the illegal drug will come from Spain.	Sinabi niya na manggagaling daw ang bawal na gamot sa Espanya.
She said that the illegal drug will come from Spain.	Sinabi niya na manggagaling daw ang bawal na gamot sa Espanya.
He said that the illegal drug will come from Spain.	Sinabi niya na magmumula daw ang bawal na gamot sa Espanya.
She said that the illegal drug will come from Spain.	Sinabi niya na magmumula daw ang bawal na gamot sa Espanya.
They said that the illegal drug will come from Spain.	Sinabi nila na magmumula daw ang bawal na gamot sa Espanya.
They said that the illegal drug will come from Spain.	Sinabi nila na manggagaling daw ang bawal na gamot sa Espanya.
He said that the doctor came from Spain.	Sinabi niya na nanggaling daw ang doktor sa Espanya.
She said that the doctor came from Spain.	Sinabi niya na nanggaling daw ang doktor sa Espanya.
He said that the doctor came from Spain.	Sinabi niya na nagmula daw ang doktor sa Espanya.
She said that the doctor came from Spain.	Sinabi niya na nagmula daw ang doktor sa Espanya.
They said that the doctor came from Spain.	Sinabi nila na nagmula daw ang doktor sa Espanya.
They said that the doctor came from Spain.	Sinabi nila na nanggaling daw ang doktor sa Espanya.
He said that the doctor is coming from Spain.	Sinabi niya na nanggagaling daw ang doktor sa Espanya.
She said that the doctor is coming from Spain.	Sinabi niya na nanggagaling daw ang doktor sa Espanya.
He said that the doctor is coming from Spain.	Sinabi niya na nagmumula daw ang doktor sa Espanya.
She said that the doctor is coming from Spain.	Sinabi niya na nagmumula daw ang doktor sa Espanya.
They said that the doctor is coming from Spain.	Sinabi nila na nagmumula daw ang doktor sa Espanya.
They said that the doctor is coming from Spain.	Sinabi nila na nanggagaling daw ang doktor sa Espanya.
He said that the doctor will come from Spain.	Sinabi niya na manggagaling daw ang doktor sa Espanya.
She said that the doctor will come from Spain.	Sinabi niya na manggagaling daw ang doktor sa Espanya.
