English	Filipino
Can you meet tonight?	Kaya niyo bang magkita mamayang gabi?
I can't come tonight.	Hindi ko kayang pumunta mamayang gabi.
I have class tonight.	May klase ako mamayang gabi.
I have plans tonight.	May mga plano ako mamayang gabi.
I'll see Tom tonight.	Makikipagkita ako kay Tom mamayang gabi.
I'm not busy tonight.	Hindi ako abala mamayang gabi.
It will rain tonight.	Uulan mamayang gabi.
Stay with us tonight.	Manuluyan ka muna sa amin ngayong gabi.
They'll call tonight.	Tatawag sila mamayang gabi.
Tonight we celebrate.	Magdidiwang tayo mamayang gabi.
Will it snow tonight?	Magkakanyebe ba mamayang gabi?
Can I see you tonight?	Pwede ba kitang makita mamayang gabi?
Let's eat out tonight.	Kain tayo sa labas mamayang gabi.
Let's stay in tonight.	Manuluyan muna tayo sa loob ngayong gabi.
We'll be back tonight.	Makakabalik kami mamayang gabi.
We'll come by tonight.	Dadaan kami mamayang gabi.
We're leaving tonight.	Aalis tayo mamayang gabi.
What happened tonight?	Anong nangyari kagabi?
What's on TV for tonight?	Anong pinapalabas sa TV ngayong gabi?
I have to work tonight.	Kailangan kong magtrabaho mamayang gabi.
May I watch TV tonight?	Pwede ba akong manood ng TV mamayang gabi?
Please call me tonight.	Pakiusap lang na tawagan mo ako mamayang gabi.
Tom can't work tonight.	Hindi makakapagtrabaho si Tom mamayang gabi.
Tom is on duty tonight.	Nasa trabaho si Tom mamayang gabi.
Tom will leave tonight.	Aalis si Tom mamayang gabi.
Can you help us tonight?	Kaya mo ba kaming tulungan mamayang gabi?
Come and see me tonight.	Puntahan mo ako mamayang gabi.
Dinner is on me tonight.	Sagot ko ang hapunan mamayang gabi.
The Daily Mail becomes the first transoceanic newspaper.	Ang Daily Mail ang naging unang newspaper na naipamahagi sa ibat-ibang mga bahagi ng mundo.
Nellie Tayloe Ross of Wyoming becomes the first female governor in the United States.	Si Nellie Tayloe Ross ng Wyoming ay naging unang babaeng gobernador sa Estados Unidos.
Cathy had been playing the piano for 35 years.	35 taon nang tumutugtog na si Cathy ng piano.
It was 46 BC when Julius Caesar fought Titus Labienus in the Battle of Ruspina.	46 BC noong nilabanan ni Julius Caesar si Titus Labienus sa Labanan sa Ruspina.
I thought I saw John in town this morning.	Akala ko ay nakita ko si John sa bayan kaninang umaga.
I will do the laundry tomorrow.	Ako ay maglalaba bukas.
I know they’ll be doing something wrong later!	Alam kong may gagawin silang masama mamaya!
The train is so slow this might take a while.	Ambagal ng tren aabutin yata 'to ng siyam-siyam.
You are now getting sick too often.	Ang dalas mo na magkasakit.
It's hard to listen to a three hour class.	Ang hirap makinig sa tatlong oras na klase.
The Senate trial in the impeachment of U.S.President Bill Clinton begins.	Ang impeachment Bill ni Pangulong Bill Clinton ay sinimulan noong 1999.
The province of Bataan was established on January 11, 1754 by Governor-General Pedro Manuel Arandia.	Ang lalawigan ng Bataan ay itinatag noong Enero 11, 1754 ni Gobernador-Heneral Pedro Manuel Arandia.
The children plays on the farm every afternoon.	Ang mga bata ay naglalaro sa bukid tuwing hapon.
Construction of the Brooklyn Bridge began on January 3, 1870.	Ang pagpapagawa sa Tulay ng Brooklyn ay nagsimula noong Enero 3, 1870.
The Filipino-American force was trapped on Bridge of Baroro on the province of Bacnotan, La Union.	Ang puwersang Pilipino at Amerikano ay ang nabihag sa Tulay ng Baroro sa bayan ng Bacnotan, La Union.
The first Asian Socialist Conference was held on Rangoon, Burma on 1953.	Ang unang Asian Socialist Conference ay nagbukas sa Rangoon, Burma.
Brunei becomes the sixth member of the Association of Southeast Asian Nations.	Ang Brunay ang naging pang-anim na miyembro ng Samahan ng mga Bansa sa Timog-Silangang Asya.
January 1 is the first day of the year in the Gregorian Calendar.	Ang Enero 1 ay ang unang araw ng taon sa Kalendaryong Gregorian.
New Mexico is admitted to the Union as the 47th U.S.state.	Ang New Mexico ang naging ika-47 na Estado ng Estados Unidos.
The Soviet Union recognizes the new pro-Soviet government of Poland.	Ang Soviet Union ay kinilala ang bagong Pro-Soviet na gobyarno ng Polonya.
Sputnik 1 fell to Earth from its orbit on 1958.	Ang Sputnik 1 ay nahulog sa mundo mula sa orbit nito noong ika-3 araw ng Enero sa taong 1958.
A leap year is a year with an additional day.	Ang taong bisyesto ay ang taon na naglalaman ng karagdagang araw.
Utah was admitted as the 45th state of Unites States on 1896.	Ang Utah iang naging ika-45 na Estado ng Estados Unidos noong 1896.
I've been studying for six years in college.	Anim na taon na akong nag-aaral sa kolehiyo.
She worked for her boss for six years.	Anim na taon siyang nagtrabaho sa kanyang amo.
What did you eat this morning?	Ano ang kinain mo kaninang umaga?
What do you want to eat later this night?	Anong gusto mong kainin mamayang gabi?
What time is their wedding?	Anong oras ba ang kasal nila?
What time did he wake up?	Anong oras ba siya nagising?
What time will you arrive there?	Anong oras ka makakarating doon?
What time will we go?	Anong oras tayo aalis?
My dad spent four days on Baguio.	Apat na araw si papa sa Baguio.
I see you everyday but I'm not able to talk to you.	Araw-araw kitang nakikita pero hindi kita makausap.
I don't want to get 7am classes.	Ayoko kumuha ng 7am na klase.
I don't want to tell when is my birthday.	Ayokong sabihin kung kailan ang aking kaarawan.
Before I went to the park, I had finished my work.	Bago ako pumunta sa parke, natapos ko na ang aking trabaho.
Before I knew it, she had run out the door.	Bago ko pa malaman ay tumakbo nasiya palabas ng pinto.
Maybe tomorrow or the day after he'll be gone.	Baka bukas makalawa ay mawala na siya.
He may have been delayed by a traffic jam for an hour.	Baka naantala siya ng traffic ng isang oras.
Why is the time running so fast?	Bakit ang bilis ng takbo ng oras?
Why is it raining even if it's already summer?	Bakit nga ba umuulan ngayon kahit tag-araw na?
I plan to read 300 books this year.	Balak kong magbasa ng 300 libro ngayong taon.
It's prohibited to drink alcohol on public places starting tomorrow.	Bawal nang uminom nang alak sa pampublikong lugar simula bukas.
Every leap year lasts for 366 days instead of the regular 365 days.	Bawat taong bisyesto ay tumatagal ng 366 na araw sa halip na 365 sa karaniwan.
I will buy clothes later.	Bibili ako ng damit mamaya.
Her wallet suddenly disappeared.	Bigla na lang nawala ang kanyang pitaka.
I’ve been reading that book you lent me.	Binabasa ko na yung libro na pinahiram mo sa akin.
Tomorrow, you'll leave.	Bukas ay aalis ka na.
We went back last February 12.	Bumalik kami noong Pebrero 12.
We went back last February 24.	Bumalik kami noong Pebrero 24.
They went back last April 12.	Bumalik sila noong Abril 12.
They went back last January 11.	Bumalik sila noong Enero 11.
They went back last January 17.	Bumalik sila noong Enero 17.
They went back last March 17.	Bumalik sila noong Marso 17.
They went back last February 6.	Bumalik sila noong Pebrero 6.
She went back last March 31.	Bumalik siya noong Marso 31.
She went back last March 9.	Bumalik siya noong Marso 9.
She went back last February 28.	Bumalik siya noong Pebrero 28.
Buy snacks for later.	Bumili ka ng meryenda para mamaya.
She bought a car twenty days after her birthday.	Bumili siya ng sasakyan dalawampung araw makalipas ang kanyang kaarawan.
She has classes for the entire day every Wednesday.	Buong araw ang kanyang klase tuwing Miyerkules.
Croatian nobles elected Ferdinand I of Austria as King of Croatiain the Parliament on Cetin.	Croatian nobles elect Ferdinand I of Austria as King of Croatia in the Parliament on Cetin.
Your aunt will arrive tomorrow morning.	Dadating ang tita mo bukas ng umaga.
Because of biking, my sleeping pattern got fixed.	Dahil sa pagbibisikleta naging maayos ang oras ng aking paggising.
The class was only held for twenty minutes because the teacher was sick.	Dalawampung minuto lang ang klase kanina dahil may sakit ang guro.
Twenty five percent of our grades depend on this.	Dalawampu't limang posryento ng aming marka ang nakasalalay sa isang linggong paghihirap.
Two hours passed before the rain stopped.	Dalawang oras ang lumipas bago tuluyang tumila ang ulan.
I had owned this place for two years before I sold it.	Dalawang taon ko nang pag-aari ang lugar na ito bago ko ito ibenta.
I have not smoked for two years.	Dalawang taon na akong hindi naninigarilyo.
Two sleeps more and it's already Christmas.	Dalawang tulog na lang ay Pasko na.
He should be here by now.	Dapat nandito na siya ngayon.
I can’t wait!	Di na ako makapaghintay!
How long will it take me to gather twelve thousand sentences?	Gaano katagal bago ako makakalikom ng labindalawang libong pangungusap?
How long did it take you to become an expert in playing the violin?	Gaano katagal bago ka naging eksperto sa pagtugtog ng biyolin?
How long will it take me to go to Diliman?	Gaano katagal bago makarating sa Diliman?
How long will you be able to finish the task I gave you?	Gaano katagal para matapos mo ang pinapagawa ko?
We'll pull all-nighters every night until we finish this.	Gabi-gabi kaming magpupuyat hanggang matapos ito.
Wake him up now so that we will not be late to class.	Gisingin mo na siya para hindi tayo mahuli sa klase.
I had intended to meet her in Paris, but I couldn’t afford the flight.	Gusto ko sanang tagpuin siya sa Paris ngunit hindi ko kayang bayaran ang pamasahe sa eroplano.
I want to go somwhere faraway someday.	Gusto kong pumunta sa isang lugar na malayo balang araw.
Jeb had wanted to dye his hair, but his parents talked him out of it.	Gusto ni Jeb na kulayan ang kanyang buhok ngunit pinigilan siya ng kanyang mga magulang.
As I spoke, the children were laughing at my cleverness.	Habang nagsasalita ako, tumatawa ang mga bata sa talas ng aking pag-iisip.
I couldn't sleep last night.	Hindi ako makatulog kagabi.
I was not able to sleep last night because of a noisy neighbor.	Hindi ako makatulog kagabi dahil sa maingay na kapitbahay.
I didn't sleep last night because I have a test later at three o' clock.	Hindi ako natulog kagabi dahil may pagsusulit ako mamayang alas tres.
I can't believe we've gone so far in less than a hundred years.	Hindi ko akalain na malayo na ang narating natin wala pa ang isang daang taon.
I don't know why there weren't any buses yesterday.	Hindi ko alam kung bakit walang mga bus kahapon.
I don't know when will I go back.	Hindi ko alam kung kailan ako babalik.
I can't focus on lecture classes for a whole hour.	Hindi ko kaya mag-focus sa lecture classes ng isang buong oras.
I am not going to finish my homework in time for class.	Hindi ko matatapos ang homework ko bago magklase.
I had not seen this movie before we went to the cinema yesterday to see it.	Hindi ko mpa nakita ang pelikulang ito bago tayo nagpunta kahapon sa sine.
I lose track of the time everytime I'm with you.	Hindi ko namamalayan ang takbo ng oras pag kasama kita.
I haven’t finished it yet.I’ll do it after dinner.	Hindi ko pa tapos.Gagawin ko pagkatapos ng gabihan.
I can’t have left it in the supermarket – I had it on the bus on the way home.	Hindi maaaring naiwan ko iyon sa supermarket dahil nasa akin pa iyon noong nasa bus ako pauwi.
Kyrie Irving can't play for 3-6 months because of a knee injury.	Hindi makakapaglaro si Kyrie Irving ng 3-6 buwan dahil sa pinsala sa kanyang tuhod.
Samantha hadn’t had time to explain her side of the story.	Hindi nagkaroon ng oras si Samantha upang ipaliwanag ang kanyang parte ng istorya.
She didn't experience a prosperous life again after she got addicted to gambling.	Hindi niya na ulit naranasan ang magandang buhay matapos niyang malulong sa sugal.
I had not eaten at that restaurant before today.	Hindi pa ako nakakain sa restawrant na iyon bago ang araw na ito.
I had not eaten at that restaurant before today.	Hindi pa ako nakakakain sa restawran na iyon bago ang araw na ito.
I had never seen such a beautiful sunset before I went to the island.	Hindi pa ako nakakita ng ganoong kagandang paglubog ng araw bago ako pumunta sa isla.
He had never played football until last week.	Hindi pa kami nakakapaglaro ng football hanggang noong isang linggo.
Chester will not have arrived by the time the parade is over.	Hindi pa makakarating sil Chester sa oras na matapos ang parada.
John had never been to London before we went there last year.	Hindi pa nakapunta si John sa London bago noong nakaraan taon.
My friends hadn’t ever gone to France.	Hindi pa nakararating ang aking mga kaibigan sa France.
My friends had never gone to the USA either.	Hindi pa rin nakararating ang mga kaibigan ko sa USA.
He is not going to say anything bad about his boss.	Hindi siya magsasabi ng masamang bagay tungkol sa boss niya.
Their project was not accepted because they passed it three minutes late.	Hindi tinanggap ang kanyang proyekto dahil nahuli siya ng tatlong minuto sa pagpasa.
Wait for me.	Hintayin niyo ako.
I washed the floor when the painter had gone.	Hinugasan ko ang sahig noong umalis na ang pintor.
Don't eat breakfast so that we will not be late.	Huwag ka na mag-almusal para di tayo mahuli.
Don’t ring at 8 o’clock.	Huwag kang tumawag ng alas otso.
I will sell the chickens that I fed a while ago.	Ibebenta ko ang mga manok na pinakain ko kanina.
How many days will it take for this machine to learn?	Ilang araw ang aabutin bago matuto ang makinang ito?
I've been looking for my purse for days now.	Ilang araw ko nang hinahanap ang pitaka ko.
How many days did he prepare for his five minute presentation earlier?	Ilang araw niyang pinaghandaan ang limang minutong presentasyon na ginawa niya kanina?
How many books have you read this month?	Ilang libro ang nabasa mo ngayon buwan?
A few weeks left and this semester will be over.	Ilang linggo na lang at matatapos na ang semestreng ito.
How many minutes everyday do you spend on reading books?	Ilang minuto araw araw ang ginugugol o sa pagbabasa ng libro?
How long is the journey to philcoa?	Ilang oras ang byahe papunta sa philcoa?
How many hours does it take you to draw a large image?	Ilang oras ang ginugugol mo sa pagguhit ng malaking larawan?
How many hours do you spend on finding phrases?	Ilang oras ang ginugugugol mo sa paghahanap ng mga parirala?
How many hours more should I spend in order to learn?	Ilang oras pa ba ang gugugulin ko para matuto?
Many centuries have passed before they were able to fight for their rights.	Ilang siglo ang nakalipas bago nila napaglaban ang kanilang karapatan.
How old is your sister?	Ilang taon na ang iyong kapatid?
